date,market_state,action_mode,total_value,daily_pnl_pct,new_entries,exits
2024-10-15,NEUTRAL,LIMITED_AGGRESSIVE,100000.0,0.0,,
2024-10-16,NEUTRAL,LIMITED_AGGRESSIVE,100000.0,0.0,,
2024-10-17,NEUTRAL,LIMITED_AGGRESSIVE,100000.0,-0.0,CEG,
2024-10-18,NEUTRAL,LIMITED_AGGRESSIVE,100000.0,0.0,,
2024-10-21,GOOD,AGGRESSIVE,100000.0,0.0,EXPE,
2024-10-22,GOOD,AGGRESSIVE,100000.0,0.0,,
2024-10-23,NEUTRAL,LIMITED_AGGRESSIVE,99500.46,-0.4995,,EXPE
2024-10-24,NEUTRAL,LIMITED_AGGRESSIVE,99500.46,0.0,,
2024-10-25,NEUTRAL,LIMITED_AGGRESSIVE,99500.46,0.0,,
2024-10-28,NEUTRAL,LIMITED_AGGRESSIVE,99500.46,-0.0,TCOM,
2024-10-29,GOOD,AGGRESSIVE,99500.46,0.0,,
2024-10-30,GOOD,AGGRESSIVE,99500.46,0.0,,
2024-10-31,NEUTRAL,LIMITED_AGGRESSIVE,99500.46,0.0,DASH,
2024-11-01,NEUTRAL,LIMITED_AGGRESSIVE,99500.46,0.0,,
2024-11-04,NEUTRAL,LIMITED_AGGRESSIVE,97164.54,-2.3476,BKNG,CEG
2024-11-05,NEUTRAL,LIMITED_AGGRESSIVE,97164.54,0.0,,
2024-11-06,GOOD,AGGRESSIVE,98320.65,1.1898,DASH|TEAM,
2024-11-07,GOOD,AGGRESSIVE,98320.65,0.0,,
2024-11-08,GOOD,AGGRESSIVE,98320.65,0.0,,
2024-11-11,GOOD,AGGRESSIVE,100028.85,1.7374,TEAM|PLTR,
2024-11-12,GOOD,AGGRESSIVE,100028.85,0.0,,
2024-11-13,NEUTRAL,LIMITED_AGGRESSIVE,100028.85,0.0,,
2024-11-14,NEUTRAL,LIMITED_AGGRESSIVE,98922.97,-1.1056,FTNT,TCOM
2024-11-15,NEUTRAL,LIMITED_AGGRESSIVE,100667.15,1.7632,PLTR,
2024-11-18,NEUTRAL,LIMITED_AGGRESSIVE,100667.15,-0.0,PLTR,
2024-11-19,NEUTRAL,LIMITED_AGGRESSIVE,100022.12,-0.6408,,FTNT
2024-11-20,NEUTRAL,LIMITED_AGGRESSIVE,100022.12,-0.0,TCOM,
2024-11-21,GOOD,AGGRESSIVE,101295.54,1.2731,BKNG,
2024-11-22,GOOD,AGGRESSIVE,101295.54,0.0,,
2024-11-25,GOOD,AGGRESSIVE,101295.55,0.0,SHOP,
2024-11-26,GOOD,AGGRESSIVE,102319.38,1.0107,PLTR|DDOG,
2024-11-27,GOOD,AGGRESSIVE,102319.38,0.0,,
2024-11-29,GOOD,AGGRESSIVE,102319.38,0.0,,
2024-12-02,GOOD,AGGRESSIVE,102319.38,0.0,,
2024-12-03,GOOD,AGGRESSIVE,102319.38,0.0,,
2024-12-04,GOOD,AGGRESSIVE,103733.4,1.382,DDOG,
2024-12-05,GOOD,AGGRESSIVE,103733.41,0.0,TEAM,
2024-12-06,GOOD,AGGRESSIVE,105919.77,2.1077,TCOM|SHOP|CEG,
2024-12-09,GOOD,AGGRESSIVE,105027.62,-0.8423,LULU|TCOM,CEG
2024-12-10,NEUTRAL,LIMITED_AGGRESSIVE,105027.62,0.0,,
2024-12-11,GOOD,AGGRESSIVE,104131.54,-0.8532,,TCOM
2024-12-12,NEUTRAL,LIMITED_AGGRESSIVE,104131.54,0.0,,
2024-12-13,NEUTRAL,LIMITED_AGGRESSIVE,104131.54,0.0,,
2024-12-16,GOOD,AGGRESSIVE,104131.54,0.0,AVGO,
2024-12-17,NEUTRAL,LIMITED_AGGRESSIVE,103065.03,-1.0242,CRWD,LULU
2024-12-18,BAD,STAY_OUT,98225.43,-4.6957,,TEAM|AVGO|CRWD
2024-12-19,BAD,STAY_OUT,98225.43,0.0,,
2024-12-20,BAD,DEFENSIVE,98225.43,0.0,,
2024-12-23,NEUTRAL,LIMITED_AGGRESSIVE,98225.42,-0.0,PLTR|EXPE,
